estimator	min_score	mean_score	max_score	std_score	augmentation_k	augmentation_type	n_components	max_depth	C	gamma
SVC	0.3465608465608465	0.4845767195767195	0.5787037037037037	0.08634985475428304	0	<function random_augment at 0x112173f80>	10	NaN	1000000.0	1.0
SVC	0.3465608465608465	0.4845767195767195	0.5787037037037037	0.08634985475428304	0	<function random_augment at 0x112173f80>	10	NaN	10000000.0	1.0
SVC	0.35648148148148145	0.4845502645502645	0.6714285714285714	0.12373424541841282	3	<function random_augment at 0x112173f80>	14	NaN	10000.0	1.0
SVC	0.39351851851851855	0.4845238095238096	0.5992063492063492	0.08823019041970678	4	<function random_augment at 0x112173f80>	10	NaN	10.0	0.01
SVC	0.39351851851851855	0.4845238095238096	0.5992063492063492	0.08823019041970678	4	<function random_augment at 0x112173f80>	10	NaN	100.0	0.001
SVC	0.39351851851851855	0.4845238095238096	0.5992063492063492	0.08823019041970678	4	<function random_augment at 0x112173f80>	10	NaN	1000.0	0.0001
SVC	0.39351851851851855	0.4845238095238096	0.5992063492063492	0.08823019041970678	4	<function random_augment at 0x112173f80>	10	NaN	10000.0	1e-05
SVC	0.39351851851851855	0.4845238095238096	0.5992063492063492	0.08823019041970678	4	<function random_augment at 0x112173f80>	10	NaN	100000.0	1e-06
SVC	0.46296296296296297	0.484021164021164	0.541005291005291	0.029036292738852706	2	<function random_augment at 0x112173f80>	14	NaN	100.0	0.001
SVC	0.46296296296296297	0.484021164021164	0.541005291005291	0.029036292738852706	2	<function random_augment at 0x112173f80>	14	NaN	1000.0	0.0001
SVC	0.46296296296296297	0.484021164021164	0.541005291005291	0.029036292738852706	2	<function random_augment at 0x112173f80>	14	NaN	10000.0	1e-05
SVC	0.34722222222222215	0.4838359788359788	0.5886243386243386	0.0865151526851274	3	<function random_augment at 0x112173f80>	12	NaN	10000000.0	1e-05
SVC	0.3941798941798942	0.4837301587301587	0.5992063492063492	0.07383938634674926	0	<function random_augment at 0x112173f80>	11	NaN	10000000.0	0.0001
SVC	0.38425925925925924	0.4836507936507936	0.6256613756613757	0.08525312779006985	1	<function random_augment at 0x112173f80>	12	NaN	100.0	0.01
SVC	0.3955026455026455	0.4836507936507936	0.6256613756613757	0.0824561033902923	1	<function random_augment at 0x112173f80>	14	NaN	100000.0	1e-05
SVC	0.39351851851851855	0.4834126984126984	0.6571428571428571	0.09118436300948315	3	<function random_augment at 0x112173f80>	10	NaN	100.0	0.001
SVC	0.39351851851851855	0.4834126984126984	0.6571428571428571	0.09118436300948315	3	<function random_augment at 0x112173f80>	10	NaN	1000.0	0.0001
SVC	0.39351851851851855	0.4834126984126984	0.6571428571428571	0.09118436300948315	3	<function random_augment at 0x112173f80>	10	NaN	10000.0	1e-05
