	cprp_MW	cprp_MP	cprp_BP	cprp_density	func_absorbent	func_antiadhesivecohesive	func_antioxidant	func_antiredepositionagent	func_biocide	func_brightener	func_chemicalreactionregulator	func_colorant	func_deodorizer	func_filler	func_flavouringnutrient	func_hardener	func_humectant	func_opacifier	func_UVstabilizer	func_viscositymodifier	pgen_AC	pgen_CP	pgen_EL	pgen_HM	pgen_PC	pgen_PE	pgen_VE	pgrp_apparel	pgrp_bodyhygiene	pgrp_childspecific	pgrp_coldrelief	pgrp_dentalcare	pgrp_deodorant	pgrp_enginemaintenance	pgrp_fabrictreatmentdye	pgrp_facialcleansingmoisturizing	pgrp_firstaid	pgrp_foodstorage	pgrp_footcare	pgrp_fungicide	pgrp_generalhouseholdcleaning	pgrp_generalmoisturizing	pgrp_largeappliances	pgrp_makeuprelated	pgrp_nutritionalsupplements	pgrp_paintstainrelated	pgrp_portableairprocessing	pgrp_sunscreen	pgrp_surfacesealers	pgrp_toys	mtrx_spray	mtrx_formulation	mtrx_WFmeasured
43	247.98	1250.0	3900.0	7.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
44	79.867	1843.0	2972.0	4.23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
45	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
46	79.867	1843.0	2972.0	4.23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
47	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
48	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
49	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
50	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
51	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
52	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
