,ID_BLT,ENM,CASRN,maximum_weight_fraction,size_avg_nm,propMW,propMP,propBP,propDensity,PUCID,gencatID,group,product_type,refined_product_type,assignedID,absorbent,antioxidant,antistain_agent,biocide,brightener,chemical_reaction_regulator,colorant,dehydrating_agent,deodorizer,dispersing_agent,filler,flavouring_nutrient,fuel_agent,hardener,humectant,lubricating_agent,opacifier,uv_stabilizer,viscosity_modifier,OECD_function,functionSum,LOD,measured
50,CPI_56,Zinc oxide,1314-13-2,0.068,,81.37,1975,2360,5.605,PC.2900.010.050.F,PC,sunscreen ,sunscreen ,spray,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"humectant
filler
uv_stabilizer",3,0,0
51,CPI_57,Zinc oxide,1314-13-2,0.2,25,81.37,1975,2360,5.605,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"humectant
filler
uv_stabilizer",3,0,0
52,CPI_58,Zinc oxide,1314-13-2,0.03,,81.37,1975,2360,5.605,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"humectant
filler
uv_stabilizer",3,0,0
53,CPI_59,Zinc oxide,1314-13-2,0.18,,81.37,1975,2360,5.605,PC.1700.010.099.F,PC,general moisturizing ,hand/body lotion,NOC,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"humectant
filler
uv_stabilizer",3,0,0
54,CPI_60,Zinc oxide,1314-13-2,0.06,,81.37,1975,2360,5.605,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"humectant
filler
uv_stabilizer",3,0,0
55,CPI_65,Silver,7440-22-4,0.0000001,,107.868,961.78,2162,10.345,PC.0900.040.099.F,PC,dental care ,denture cleaner,NOC,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
56,CPI_66,Silver,7440-22-4,0.00002,,107.868,961.78,2162,10.345,AP.0200.070.099.A,AP,apparel ,other,NOC,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
57,CPI_81,Silver,7440-22-4,0.00001,,107.868,961.78,2162,10.345,PH.0400.010.050.P,PH,cold relief,cold relief,spray,P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
58,RIVM_01,Titanium dioxide,13463-67-7,0.000667408,75,79.867,1843,2972,4.23,PC.0800.080.001.F,PC,child specific ,diaper cream,child,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,viscosity_modifier,1,0,1
59,RIVM_02,Zinc oxide,1314-13-2,0.150616032,275,81.37,1975,2360,5.605,PC.0800.080.001.F,PC,child specific ,diaper cream,child,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"filler
humectant",2,0,1
